"","Sample.Name","Btub_cov","cyp51_cov","cytB_cov","erg2_cov","erg24_cov","mit_cov","sdhB_cov","sdhC_cov","sdhD_cov","Average_coverage","ratio_Btub","ratio_cyp51","ratio_erg2","ratio_erg24","ratio_sdhB","ratio_sdhC","ratio_sdhD","ratio_cytB"
"1","94202",28.3794,58.3178,4843.43,22.4548,28.8601,3691.42,27.9329,30.3896,25.1054,27.2040481996827,1.04320503300428,2.1437177133321,0.825421269480838,1.060875197256,1.02679203458865,1.11709844714782,0.922855297701348,1.31207773702261
"2","96224",42.8155,74.5505,4515.6,42.8065,39.9803,3853.25,36.5174,36.9673,42.0115,38.6334951353129,1.10824816263814,1.92968561966471,1.108015204166,1.03486106706033,0.945226412264763,0.9568717474441,1.08743720579398,1.17189385583598
"3","CHE_07224",23.6705,134.841,3468.04,31.4711,26.5368,2736.77,29.4282,26.1594,20.2125,29.3014667118562,0.807826455677806,4.60185154982155,1.07404521109743,0.905647497477062,1.00432515168575,0.892767596149553,0.689811885485632,1.26720184743329
"4","CHE_07227",40.2741,147.079,5928.05,45.0917,41.2838,5041.4,41.2801,36.2698,31.2043,40.3598249856296,0.997875982225886,3.64419320580227,1.1172422084599,1.02289343461473,1.02280175929152,0.898660983116605,0.773152510227944,1.17587376522395
"5","CHE_07230",21.6979,91.3904,4569.72,22.7312,20.8325,3242.36,21.7847,23.2153,21.0956,22.7320199527086,0.954508224308268,4.02033784019754,0.999963929615129,0.916438576217145,0.958326626728316,1.02125988136104,0.928012558667774,1.40938082137702
"6","CHE_07234",24.2071,98.9462,5511.55,26.294,27.3095,4058.84,25.2789,26.0531,22.5684,25.3514852889872,0.954859240950102,3.90297447554218,1.0371778891954,1.07723471381235,0.997136842746696,1.02767548737342,0.890220030216684,1.35791260557204
"7","CHE_07298",29.9976,134.095,4172.85,38.593,35.0598,3214.21,39.4282,34.5872,29.8946,34.7760272426112,0.862594217295868,3.85596086247865,1.10975873496878,1.00816001078585,1.13377527930184,0.994570189363671,0.859632406871652,1.29825058101369
"8","CHE_10001",24.0347,78.8128,3640.71,23.3317,27.138,2684.75,22.6574,24.5409,22.2784,24.3868583612539,0.985559502743764,3.2317733933789,0.956732501348745,1.11281246636988,0.92908236331082,1.00631658397585,0.913541206086478,1.35607039761617
"9","CHE_7004",40.4568,111.305,5206.64,37.8467,41.3213,3650.51,26.0127,39.3815,35.7776,37.6653057388001,1.07411314488082,2.95510677045538,1.00481595085031,1.09706530159488,0.690627607814785,1.04556432577771,0.949882107637971,1.42627742425031
"10","CHE_96229",30.0981,87.2522,5587.45,31.3807,30.8574,4279.96,30.1308,28.8842,22.3344,30.5247456051087,0.98602295951527,2.85840875232052,1.02804132771374,1.01089785969701,0.987094221514404,0.946255224324158,0.731681773500581,1.3054911728147
"11","CHE_96249",32.4781,98.8045,5093.77,41.6671,36.9422,3940.69,33.5891,32.361,33.9555,35.0581479921968,0.926406609020788,2.8183034660585,1.18851400847741,1.05374077399133,0.958096816964667,0.92306644398908,0.96854802505705,1.29260865482948
"12","CHE_97223",24.1096,74.3231,4440.9,25.0113,24.7878,3394.68,26.3021,25.5858,18.7183,23.745693356615,1.01532516393267,3.12996124744849,1.05329836549213,1.04388613243398,1.10765769628171,1.07749222630606,0.788281888378109,1.30819399766694
"13","CHE_97266",41.5865,161.276,6082.83,45.5239,43.2582,4715.38,41.1956,41.936,33.1549,43.8978143563102,0.947347848857583,3.67389589584013,1.03704251948608,0.985429471473942,0.938443077498646,0.955309520870754,0.755274504805364,1.28999783686575
"14","CHE_98013",21.9854,113.713,4764.67,24.6935,25.5894,3557.15,24.7361,19.7153,18.8303,23.4279997002237,0.93842411991281,4.85372210410751,1.05401657486636,1.09225714219877,1.05583491192224,0.841527243139403,0.803751931063078,1.33946277216311
"15","CHE_98230",20.0981,91.1069,5766.42,24.6658,25.6176,4164.98,23.5312,22.9496,17.3064,23.1347286806092,0.868741547716771,3.93810107988701,1.06618064730857,1.10732225796414,1.01713749596394,0.991997801955449,0.748070151974839,1.38450124610442
"16","CHE_98250",37.9458,150.458,6458.49,38.6068,37.9783,5077.74,36.3275,46.5831,31.7315,39.8943556856397,0.951157108514448,3.77141070244577,0.967725868396387,0.951971760097146,0.910592472936626,1.16766141975237,0.795388206041939,1.27192215434426
"17","CHNY072301",21.8563,59.2008,2249.88,16.5013,21.3259,1665.44,18.3414,15.5504,20.2471,20.7904621845896,1.0512657104949,2.84749802454517,0.793695678984528,1.02575401213578,0.882202609886907,0.747958360037149,0.973864833799012,1.35092227879719
"18","CHST042201",36.2625,124.316,2712.91,29.9008,33.6465,2075.02,40.3125,33.8488,34.3262,35.3951247222479,1.02450550138073,3.51223511643286,0.844771708946843,0.950597017640998,1.13892803928054,0.95631249404029,0.969800227273221,1.30741390444429
"19","CHTG062201",36.0773,120.138,3268.34,29.8178,38.2254,2482.69,46.9641,32.049,31.8303,36.8506941732304,0.979012765143724,3.26012854561834,0.809151650165132,1.03730474710482,1.27444274941546,0.869698677841501,0.863763918540308,1.31645110746811
"20","CHVD042201",70.5268,254.003,9100.22,71.3492,70.1728,6741.26,67.3681,72.9986,60.6969,68.5953231839284,1.02815755836433,3.70292008565843,1.04014671391937,1.02299685667843,0.982109229507706,1.06419208499484,0.884854785759228,1.34992864835357
"21","CHZR022201",83.3289,238.696,10375.8,83.0716,86.7648,7818.7,87.1308,88.8202,66.9687,84.5037037550457,0.986097606343372,2.82468092395,0.9830527693887,1.02675736263003,1.03108853373539,1.0510805568649,0.792494257933651,1.32704925371225
"22","CHZR042202",42.7844,191.54,3124.48,33.8078,39.5506,2290.12,34.9062,37.158,38.2405,37.8611537424895,1.13003423749302,5.05901117812596,0.892941621112284,1.04462215464962,0.921952887051793,0.981428095211468,1.01001940564439,1.3643302534365
"23","CHZR042301",21.2546,97.1347,2640.74,23.7437,19.659,1961.33,19.5463,21.1798,20.598,21.7175058349879,0.978685129015039,4.47264528155492,1.09329773779767,0.905214445405073,0.900025083382734,0.975240902934552,0.948451454624024,1.34640269612967
"24","CHZR042302",22.8672,55.5836,2255.63,18.0075,19.5112,1686.66,21.7836,18.3856,21.1549,20.9170285497918,1.09323367540308,2.65733729184747,0.860901440046045,0.932790236125303,1.04142899399623,0.878977621330588,1.01137214349744,1.33733532543607
"25","CHZR052205",44.7862,162.609,5163.73,43.5088,52.0565,3869.24,43.9132,46.5054,38.6293,43.4964889616666,1.02965092284736,3.73843967367819,1.00028303522025,1.19679774719006,1.00958033736242,1.06917595213225,0.888101566865407,1.33455924160817
"26","CHZR062208",45.7546,191.879,4788.13,46.5389,43.7011,3597.84,50.3565,37.4782,38.5404,40.1773463936627,1.13881587777577,4.77580072411815,1.15833682852038,1.08770498608373,1.25335554784033,0.932819196986876,0.959256980846278,1.33083461187824
"27","CZKA042201",35.5871,66.6799,3854.86,37.9774,33.9363,2697.54,35.787,31.361,38.9275,37.334659413819,0.953192035463643,1.78600531106812,1.01721565420102,0.908975748883861,0.958546309565472,0.839996949011729,1.04266385742336,1.42902792915026
"28","CZKA042204",33.8685,87.5375,2525.34,29.3656,35.3265,1760.17,36.2326,32.6199,31.084,35.1552109020924,0.9633991414338,2.49002915225833,0.835312866754902,1.0048723672398,1.03064664014982,0.927882358346441,0.884193244824195,1.43471369242744
"29","CZKA042205",45.6431,152.113,2483.72,39.4535,42.6767,1750.53,49.919,43.9619,41.8105,38.8788660273566,1.17398228559145,3.91248551058479,1.01478011144253,1.09768376397529,1.28396234511766,1.13074028365608,1.07540430758913,1.41883886594346
