Isolate,genome_wide_coverage,cyp51_coverage,ratio
94202,27.14,57.9976,2.1369786293294
96224,38.53,74.1465,1.92438359719699
CHE_07224,29.15,134.841,4.62576329331046
CHE_07227,40.15,147.053,3.6625902864259
CHE_07230,22.77,91.3904,4.01363197189284
CHE_07234,25.28,98.9462,3.91401107594937
CHE_07298,34.55,134.095,3.88118668596237
CHE_10001,24.2,78.8128,3.25672727272727
CHE_7004,37.53,111.265,2.96469491073808
CHE_96229,30.47,86.4483,2.83716114210699
CHE_96249,34.79,98.0419,2.81810577752228
CHE_97223,23.65,73.8612,3.12309513742072
CHE_97266,43.96,159.067,3.61844858962693
CHE_98013,23.32,113.713,4.87620068610635
CHE_98230,23.07,90.3828,3.9177633289987
CHE_98250,39.8,148.507,3.73133165829146
CHNY072301,20.61,59.1122,2.86813197476953
CHST042201,35.15,124.316,3.53672830725462
CHTG062201,36.52,119.989,3.285569550931
CHVD042201,68.22,253.882,3.72151861624157
CHZR022201,83.51,238.527,2.85626871033409
CHZR042202,37.66,191.54,5.08603292618163
CHZR042301,21.47,97.0461,4.52007918025151
CHZR042302,20.74,55.5836,2.68001928640309
CHZR052205,43.05,162.41,3.7725900116144
CHZR062208,39.67,191.701,4.83239223594656
CZKA042201,36.9,66.5913,1.80464227642276
CZKA042204,34.83,87.0213,2.49845822566753
CZKA042205,38.63,151.874,3.93150401242558
CZKA052301,21.92,82.7466,3.77493613138686
CZKA052302,20.89,75.0189,3.59113930110101
CZPR052201,30.57,62.293,2.03771671573438
CZPR052202,35.69,106.168,2.97472681423368
CZPR052203,39.35,142.441,3.61984752223634
CZPR052204,39.75,75.9752,1.91132578616352
CZPR052205,32.15,162.604,5.05766718506999
CZUH042202,42.6,80.7466,1.89546009389671
CZUH042203,35.89,148.127,4.12724993034271
CZUH042204,31.92,107.522,3.36848370927318
CZUH042205,40.47,172.999,4.27474672596985
CZUH042206,37.59,66.4962,1.76898643256185
CZUH052301,22.26,60.57,2.72102425876011
CZUH052302,24.04,43.9911,1.82991264559068
DEBD052307,20.63,76.4206,3.70434318952981
DEBD052318,22.35,100.026,4.47543624161074
DEBE032202,36.55,159.276,4.35775649794802
DEBE032203,28.73,77.3715,2.69305603898364
DEBE052301,54.08,141.617,2.6186575443787
DEBE052302,23.01,65.0921,2.82886136462408
DECO042201,35.21,128.346,3.64515762567452
DECO042202,29.84,58.5676,1.96272117962466
DECO042203,31.65,79.1949,2.50220853080569
DECO042204,37.1,157.32,4.24043126684636
DEDO072301,21.99,82.534,3.75325147794452
DEDO072302,33.77,127.584,3.77802783535683
DEGO062303,23.21,106.138,4.57294269711331
DEHA062201,39.97,106.772,2.67130347760821
DEHI052201,43.08,113.381,2.63187093779016
DEHO062206,32.42,156.057,4.81360271437384
DEHO062208,37.27,132.322,3.55036222162597
DEHO062211,34.92,123.225,3.52878006872852
DEHO062214,35.15,130.672,3.7175533428165
DEHO062215,27.99,76.6615,2.73888888888889
DEHO062232,36.3,140.021,3.85732782369146
DEHO062233,43.75,198.347,4.53364571428571
DEHO062240,32.13,133.681,4.16062869592281
DEHO062314,20.56,94.1506,4.5793093385214
DEHO062320,26.14,115.659,4.42459831675593
DELO042201,33.1,134.287,4.05700906344411
DELO042203,33.27,117.383,3.52819356777878
DELO042204,28.66,71.6474,2.49990928122819
DELO042205,37.67,170.852,4.53549243429785
DELW052301,24.92,85.4294,3.42814606741573
DELW052304,25.27,87.0762,3.44583300356154
DELW052307,28.2,55.5139,1.9685780141844
DKES062203,40.98,155.986,3.80639336261591
ESAN032201,30.69,107.317,3.49680677745194
ESAN032203,40.92,141.459,3.45696480938416
ESAN032205,26.68,96.2723,3.60840704647676
ESAN032208,30.32,82.6527,2.72601253298153
ESAN032210,32.04,122.794,3.83252184769039
ESAN032212,36.28,96.6639,2.66438533627343
ESAN032214,34.92,161.47,4.62399770904926
ESAN032215,34.05,146.955,4.31585903083701
ESAN032216,39.44,140.619,3.56539046653144
ESAN032219,30.03,128.461,4.27775557775558
ESAN032222,28.48,74.8529,2.62826193820225
ESAN032225,34.77,140.126,4.0300834052344
ESAN032226,25.62,86.5434,3.377962529274
ESAN032227,33.81,92.0289,2.72194321206744
ESAN042303,38.02,97.0467,2.55251709626512
ESAN042310,26.36,92.2374,3.49914264036419
ESAN042315,35.8,124.907,3.48902234636872
ESAN042318,31.65,132.315,4.18056872037915
ESCT052202,31.85,55.6297,1.74661538461538
ESCT052207,32.83,120.865,3.68154127322571
ESCT052302,76.04,197.908,2.60268279852709
ESCT052307,31.89,84.4932,2.64952022577611
ESCT052309,28.05,124.783,4.44859180035651
ESCT062210,42.13,125.375,2.97590790410634
ESCT062211,33.03,59.5027,1.80147441719649
ESCT062216,34.84,95.4406,2.7393972445465
ESCT062217,34.52,70.674,2.0473348783314
ESCT062219,36.05,141.813,3.93378640776699
ESCT062221,42.07,168.858,4.01373900641788
ESCT062224,39.35,141.942,3.607166454892
ESCT062226,29.76,58.3449,1.96051411290323
ESMA052301,24.65,90.8931,3.68734685598377
ESMA052302,30.22,161.536,5.34533421575116
ESMD052201,38,145.281,3.82318421052632
ESMD052202,41.96,79.1158,1.88550524308866
ESSA052201,29.02,107.859,3.71671261199173
ESSA052202,37.54,100.166,2.66824720298348
ESSA062301,25.45,99.7578,3.91975638506876
FRA_ASOSAN_95_9,28.4,128.465,4.52341549295775
FRA_B_STONE_95_45,42.68,123.237,2.8874648547329
FRA_M_DOVE_94_10,28.92,55.5694,1.92148686030429
FRA_MERCIA_COKER_98_25,31.65,84.2918,2.66324802527646
FRA_MISSION_96_19,53.46,128.445,2.40263748597082
FRBE052201,45.95,161.37,3.51186071817193
FRBE052202,35.4,117.975,3.33262711864407
FRBE052204,36.19,127.933,3.53503730312241
FRCL052201,32.24,92.9144,2.88196029776675
FRCL052202,42.36,155.359,3.66758734655335
FRCL052301,26.23,66.8565,2.54885627144491
FRCL052302,21.05,56.9138,2.70374346793349
FRCO042201,31.15,158.972,5.10343499197432
FRCO042202,36.98,73.3627,1.98384802595998
FRCO042203,29.24,110.029,3.76296169630643
FRCO042204,29.17,104.545,3.58399040109702
